sample_name_old,Cortical_area,Prep,patched_cell_container,subclass_Tree_label,subclass_Corr_label,score.Tree_label,score.Corr_label,cluster_Tree_label,cluster_Tree_label,Genes.Detected,percent_reads_aligned_to_introns,marker_sum_norm_label,projection_type
SM-GE4WL_S047_E1-50,TCx,acute,PXS4_190717_305_A01,L6 IT,L6 IT,0.67,0.6937453850835625,L6 IT_2,L6 IT_2,8065.0,48.3661160745822,1.055288928557351,unknown
SM-GE4WL_S048_E1-50,TCx,acute,PXS4_190717_306_A01,L5 IT,L5 IT,0.47,0.3750602821233399,L5 IT_4,L5 IT_4,1903.0,21.386963611760663,0.5999216603375362,unknown
SM-GE4WL_S049_E1-50,TCx,acute,PXS4_190717_307_A01,L5 ET,L5 ET,0.53,0.49142411582845785,L5 ET_1,L5 ET_1,5256.0,46.08191465076049,0.7476977611929914,unknown
SM-GE4WL_S050_E1-50,TCx,acute,PXS4_190717_308_A01,L6 CT,L6 IT Car3,0.24,0.2685683607807649,L6 CT_1,L6 CT_1,4207.0,26.623530950504826,0.4774657419662866,unknown
SM-GE4WL_S089_E1-50,TCx,acute,PXS4_190718_301_A01,L5 IT,L5 IT,0.59,0.7042537049328936,L5 IT_1,L5 IT_1,7893.0,43.579523215307574,0.9476326465031094,unknown
SM-GE4WL_S090_E1-50,TCx,acute,PXS4_190718_302_A01,L5 IT,L5 IT,0.45,0.6819105600338843,L5 IT_1,L5 IT_1,7596.0,37.075610590915915,0.8866249677722569,unknown
SM-J2NTQ_S505_E1-50,TCx,acute,PQS4_200312_301_A01,L5/6 NP,L5/6 NP,0.41,0.3835894651281524,L5/6 NP_7,L5/6 NP_7,1291.0,27.083679442404033,0.41627090005077066,unknown
SM-J2NTQ_S507_E1-50,TCx,acute,PQS4_200312_303_A01,L6b,L5 ET,0.26,0.3578355195092509,L6b_1,L6b_1,4248.0,6.628565199910959,0.5808293915594743,unknown
SM-J2NTQ_S508_E1-50,TCx,acute,PQS4_200312_304_A01,L6 IT,L6 IT,0.61,0.7249148101246997,L6 IT_2,L6 IT_2,7800.0,50.650795545231,1.0520105819124934,unknown
SM-J2NTQ_S509_E1-50,TCx,acute,PQS4_200312_305_A01,L6 IT,L6 IT,0.21,0.7160480559106814,L6 IT_3,L6 IT_3,8832.0,29.679607067139507,0.9605324286177924,unknown
SM-J2NTQ_S517_E1-50,TCx,acute,PQS4_200318_301_A01,L5 ET,L5 ET,0.94,0.7280917648024179,L5 ET_2,L5 ET_2,5259.0,50.81468769431273,0.9488016075947523,unknown
SM-J2NTI_S533_E1-50,TCx,acute,PQS4_200617_301_A01,L5 ET,L5 ET,0.99,0.6888405849343882,L5 ET_2,L5 ET_2,6902.0,45.12992358569427,0.9948382254396565,unknown
SM-J2NTI_S531_E1-50,TCx,acute,PQS4_200617_227_A01,L5 IT,L5 IT,0.38,0.5703009097913153,L5 IT_3,L5 IT_3,3840.0,28.919161019925454,0.8659927171985575,unknown
SM-J39U8_S677_E1-50,TCx,acute,PQS4_200713_301_A01,L5 IT,L5 IT,0.81,0.7431687345898569,L5 IT_4,L5 IT_4,5743.0,45.52744292138343,1.0123768889425342,unknown
SM-J39U8_S678_E1-50,TCx,acute,PQS4_200713_302_A01,L5 ET,L5 ET,0.55,0.33206231881500975,L5 ET_1,L5 ET_1,2995.0,7.9525101477612425,0.422648760189005,unknown
SM-J2NT9_S442_E1-50,TCx,acute,PQS4_200729_304_A01,L6 IT Car3,L5 IT,0.27,0.330177097428601,L6 IT Car3_2,L6 IT Car3_2,3551.0,6.645781349246681,0.6243488016694742,unknown
SM-J2NT8_S605_E1-50,TCx,acute,PQS4_200713_227_A01,L5 IT,L5 IT,0.73,0.6479922618535898,L5 IT_1,L5 IT_1,3269.0,46.3547187693079,0.9684937058655697,unknown
SM-J2NT8_S606_E1-50,TCx,acute,PQS4_200713_228_A01,L5 IT,L5 IT,0.51,0.7174484375405823,L5 IT_4,L5 IT_4,2311.0,50.69596588463606,1.044424470264727,unknown
SM-J2NT9_S437_E1-50,TCx,acute,PQS4_200729_226_A01,L6 CT,L6 CT,0.95,0.7165218888125403,L6 CT_4,L6 CT_4,1788.0,48.30899344015351,0.9261723584131677,unknown
SM-J2NSZ_S526_E1-50,TCx,acute,PQS4_200826_226_A01,Sst Chodl,L5 IT,0.11,0.14037786982794967,Sst Chodl_1,Sst Chodl_1,460.0,7.3850835918685025,0.17044741961614301,unknown
SM-J39U8_S683_E1-50,TCx,acute,PQS4_200831_301_A01,L5/6 NP,L5/6 NP,0.18,0.31494513941626506,L5/6 NP_3,L5/6 NP_3,2000.0,8.362213875921297,0.2668760875662951,unknown
SM-J39U8_S684_E1-50,TCx,acute,PQS4_200831_302_A01,L5 IT,L5 IT,0.44,0.4853658927927475,L5 IT_4,L5 IT_4,3575.0,17.573454932391414,0.7238824212677185,unknown
SM-J39U8_S685_E1-50,TCx,acute,PQS4_200831_303_A01,L4 IT,L5 IT,0.26,0.48705288717282025,L4 IT_3,L4 IT_3,4130.0,16.238467906157375,0.7688331891569582,unknown
SM-J39V4_S150_E1-50,TCx,acute,PQS4_200915_302_A01,L5 ET,L5 ET,1.0,0.7262397420806318,L5 ET_1,L5 ET_1,6660.0,45.15406138882414,1.0025071836848183,unknown
SM-J39V4_S151_E1-50,TCx,acute,PQS4_200915_303_A01,Pvalb,L6 IT,0.25,0.3941397819121939,Pvalb_4,Pvalb_4,1867.0,33.05998423653944,0.5837910300676319,unknown
SM-J39V4_S152_E1-50,TCx,acute,PQS4_200915_304_A01,L6b,L5 ET,0.45,0.36561508359308953,L6b_4,L6b_4,4174.0,8.372914296426547,0.5689807795753923,unknown
SM-J39V4_S154_E1-50,TCx,acute,PQS4_200915_306_A01,L5 IT,L5 IT,0.51,0.34418563628438265,L5 IT_1,L5 IT_1,3534.0,5.174062669841474,0.508711548132777,unknown
SM-J39V4_S167_E1-50,TCx,acute,PQS4_200916_301_A01,L5 ET,L5 ET,1.0,0.7146418871738912,L5 ET_1,L5 ET_1,5910.0,41.55251568499531,0.9593990242432506,unknown
SM-J39U8_S713_E1-50,TCx,acute,PQS4_201110_302_A01,L6 IT,L6 IT,0.38,0.6923935980125342,L6 IT_4,L6 IT_4,5299.0,49.627503244304506,0.9641225508924367,unknown
SM-J39U8_S714_E1-50,TCx,acute,PQS4_201110_303_A01,L5/6 NP,L5/6 NP,0.38,0.6821971450178458,L5/6 NP_7,L5/6 NP_7,5188.0,44.71623430801377,0.9400324324411403,unknown
SM-J39U8_S715_E1-50,TCx,acute,PQS4_201110_304_A01,L5/6 NP,L6 IT,0.17,0.40184178227949824,L5/6 NP_6,L5/6 NP_6,949.0,53.6082273643032,0.5349361953408976,unknown
SM-J39U8_S716_E1-50,TCx,acute,PQS4_201110_305_A01,L6b,L5 IT,0.18,0.3658198660516834,L6b_3,L6b_3,4490.0,12.57877671756454,0.5981692011126648,unknown
SM-J2NSC_S414_E1-50,TCx,acute,PQS4_210112_301_A01,L5 IT,L5 IT,0.28,0.5038895075009047,L5 IT_1,L5 IT_1,2765.0,33.116559683512506,0.6506168088508889,unknown
SM-J2NSC_S416_E1-50,TCx,acute,PQS4_210112_303_A01,L6 CT,L6 CT,0.09,0.3704762624389873,L6 CT_4,L6 CT_4,2946.0,24.02951039446491,0.5379558018677014,unknown
SM-J2NSC_S417_E1-50,TCx,acute,PQS4_210112_304_A01,L6 IT,L6 IT,0.47,0.7348854674745399,L6 IT_3,L6 IT_3,6190.0,48.67727083053001,0.9842969485071594,unknown
SM-J2NSC_S418_E1-50,TCx,acute,PQS4_210112_305_A01,L6 IT,L5 IT,0.64,0.676252617145428,L6 IT_2,L6 IT_2,5923.0,51.98071183319979,0.9868178715220884,unknown
SM-J2NSR_S652_E1-50,TCx,acute,PQS4_210121_301_A01,L6 CT,L5 ET,0.25,0.3877396630995947,L6 CT_4,L6 CT_4,1513.0,32.92612678364166,0.8083347315457934,unknown
SM-J2NRU_S310_E1-50,TCx,acute,P7S4_210209_301_A01,L6 IT,L5 ET,0.2,0.3465483259900656,L6 IT_4,L6 IT_4,1018.0,30.62004989603242,0.4979872655425034,unknown
SM-J2NRU_S311_E1-50,TCx,acute,P7S4_210209_302_A01,L5 ET,L5 ET,0.93,0.44378753849236263,L5 ET_1,L5 ET_1,3936.0,17.00907414305916,0.7703138576005898,unknown
SM-J2NRU_S373_E1-50,TCx,acute,P7S4_210216_303_A01,L5 ET,L5 ET,1.0,0.7517632664772997,L5 ET_1,L5 ET_1,7248.0,46.8958486147403,0.9906557745951641,unknown
SM-J2BCQ_S762_E1-50,TCx,acute,P7S4_210414_301_A01,L5 ET,L5 ET,1.0,0.7457149024218851,L5 ET_1,L5 ET_1,6065.0,46.86641678804261,0.9508827308716052,unknown
SM-J2BCQ_S764_E1-50,TCx,acute,P7S4_210414_303_A01,L5 ET,L5 ET,0.99,0.7006263072698315,L5 ET_1,L5 ET_1,7000.0,52.12859496129768,1.0251691258002837,unknown
SM-J2BCQ_S765_E1-50,TCx,acute,P7S4_210414_304_A01,L6 IT,L6 IT,0.64,0.7278918730212224,L6 IT_2,L6 IT_2,5958.0,48.692254224263905,1.0246864852575253,unknown
SM-J2BCQ_S766_E1-50,TCx,acute,P7S4_210414_305_A01,L5 ET,L5 ET,0.28,0.33983280196111537,L5 ET_1,L5 ET_1,1563.0,14.12606138257127,0.3151596357023646,unknown
SM-J2BCQ_S767_E1-50,TCx,acute,P7S4_210414_306_A01,L5 ET,L5 ET,1.0,0.7160155680421942,L5 ET_1,L5 ET_1,5336.0,45.05234524921284,0.9326421655502612,unknown
SM-J2BCQ_S768_E1-50,TCx,acute,P7S4_210414_307_A01,L5 ET,L5 ET,0.58,0.4905252994882797,L5 ET_1,L5 ET_1,3660.0,17.51514955195198,0.676383766390639,unknown
SM-J2BCR_S210_E1-50,TCx,acute,PKS4_210414_226_A01,L6 IT,L6 IT,1.0,0.7342558528523335,L6 IT_4,L6 IT_4,5201.0,50.15477072376956,1.043842449453735,unknown
SM-J1XKM_S544_E1-50,TCx,acute,P7S4_210512_301_A01,L5 IT,L5 IT,0.43,0.7385775872088813,L5 IT_4,L5 IT_4,6747.0,48.212791254707824,1.0272890844205524,unknown
SM-J1XKM_S546_E1-50,TCx,acute,P7S4_210512_303_A01,L5 ET,L5 ET,0.88,0.7079141706765091,L5 ET_1,L5 ET_1,6881.0,40.9564149545379,0.961271707974316,unknown
SM-J1XKM_S547_E1-50,TCx,acute,P7S4_210512_304_A01,L5 IT,L5 IT,0.21,0.3709386781106659,L5 IT_4,L5 IT_4,2821.0,12.118830288201279,0.5814860065532975,unknown
SM-J3A2Q_S072_E1-50,TCx,acute,P7S4_210525_301_A01,L5 ET,L5 ET,1.0,0.7472969556770631,L5 ET_1,L5 ET_1,6426.0,42.2804657743618,0.9356561566070379,unknown
SM-J3A2Q_S073_E1-50,TCx,acute,P7S4_210525_302_A01,L5 ET,L5 ET,0.85,0.699633348618717,L5 ET_2,L5 ET_2,6307.0,50.5784138266554,0.9498569126972845,unknown
SM-J3A2Q_S074_E1-50,TCx,acute,P7S4_210525_303_A01,L5 ET,L5 ET,0.71,0.6893754172257941,L5 ET_1,L5 ET_1,5962.0,50.33114758504055,0.9363002360436631,unknown
SM-J3A22_S008_E1-50,TCx,acute,P7S4_210622_301_A01,L5 ET,L5 ET,1.0,0.743116388840335,L5 ET_1,L5 ET_1,7274.0,42.81715551228814,0.9714311718461264,unknown
SM-J3A22_S023_E1-50,TCx,acute,P7S4_210623_301_A01,L5 ET,L5 ET,1.0,0.7517572953238879,L5 ET_2,L5 ET_2,5452.0,56.43826692118916,0.944171283441272,unknown
SM-J3A22_S024_E1-50,TCx,acute,P7S4_210623_302_A01,L5 IT,L5 IT,0.52,0.7159355232944868,L5 IT_1,L5 IT_1,5933.0,49.79636770707134,0.9796798473067676,unknown
SM-J3A22_S025_E1-50,TCx,acute,P7S4_210623_303_A01,L5 IT,L6 IT,0.55,0.7025107154202535,L5 IT_4,L5 IT_4,6157.0,46.52075312182419,0.9931159868115313,unknown
SM-IRUWE_S697_E1-50,TCx,acute,P7S4_211011_301_A01,L5/6 NP,L5/6 NP,0.46,0.7126131282994306,L5/6 NP_7,L5/6 NP_7,4674.0,43.331313131054415,0.8286033310007218,unknown
SM-IRUWE_S699_E1-50,TCx,acute,P7S4_211011_303_A01,L5 IT,L5 IT,0.35,0.7093647693554904,L5 IT_4,L5 IT_4,6827.0,49.74741771171585,1.006168431560159,unknown
SM-IRUWE_S700_E1-50,TCx,acute,P7S4_211011_304_A01,L5 ET,L5 ET,1.0,0.6835249653356621,L5 ET_1,L5 ET_1,7512.0,43.29324064340834,0.9719528247709949,unknown
SM-IRUWE_S728_E1-50,TCx,acute,P7S4_211012_301_A01,L5 IT,L5 IT,0.62,0.7692154407516436,L5 IT_3,L5 IT_3,5155.0,46.02602861214354,0.9827594541813398,unknown
SM-IRUWE_S729_E1-50,TCx,acute,P7S4_211012_302_A01,L6b,L6b,1.0,0.7343659720862958,L6b_1,L6b_1,6699.0,54.898146756653574,1.0416938477763302,unknown
SM-IRUWE_S730_E1-50,TCx,acute,P7S4_211012_303_A01,L5/6 NP,L5/6 NP,0.54,0.7362382376160043,L5/6 NP_6,L5/6 NP_6,6558.0,48.90396513310801,0.8100276368808434,unknown
SM-IRUWE_S731_E1-50,TCx,acute,P7S4_211012_304_A01,L6 IT,L6 IT,0.71,0.6809894163382643,L6 IT_3,L6 IT_3,6695.0,50.35820066940438,1.022469157244051,unknown
SM-IRUWE_S732_E1-50,TCx,acute,P7S4_211012_305_A01,L5 ET,L5 ET,1.0,0.6880564235793392,L5 ET_1,L5 ET_1,6918.0,51.19124595861684,0.9961182093403628,unknown
SM-IRUWE_S734_E1-50,TCx,acute,P7S4_211012_307_A01,L5 ET,L5 ET,1.0,0.6982800547128358,L5 ET_2,L5 ET_2,6490.0,50.10656161489414,0.8802226035819014,unknown
SM-IRUWE_S750_E1-50,TCx,acute,PKS4_211012_226_A01,L5 IT,L5 IT,0.57,0.6752243353473594,L5 IT_4,L5 IT_4,6877.0,38.003849876715144,0.9202390426917556,unknown
SM-IRUWE_S751_E1-50,TCx,acute,PKS4_211012_227_A01,L5 IT,L5 IT,0.43,0.6795449068654204,L5 IT_1,L5 IT_1,5496.0,44.370644978968016,0.9406102905738212,unknown
AB-S40301_S001_E1-50,TCx,acute,P7S4_211122_301_A01,L5 ET,L5 ET,1.0,0.7409907129936956,L5 ET_1,L5 ET_1,7319.0,59.33990136603967,1.02267232170103,unknown
AB-S40301_S002_E1-50,TCx,acute,P7S4_211122_302_A01,L5 ET,L5 ET,1.0,0.7315215142701594,L5 ET_1,L5 ET_1,6588.0,56.61415436479223,1.000857773850267,unknown
AB-S40301_S003_E1-50,TCx,acute,P7S4_211122_303_A01,L2/3 IT,L6 IT,0.36,0.7457161739364945,L2/3 IT_4,L2/3 IT_4,7840.0,49.764063885287335,1.0349660633522066,unknown
AB-S40301_S004_E1-50,TCx,acute,P7S4_211122_304_A01,L6 IT Car3,L6 IT Car3,0.69,0.6911810133206122,L6 IT Car3_2,L6 IT Car3_2,5805.0,50.65235754298511,0.9876895584879026,unknown
AB-S40301_S006_E1-50,TCx,acute,P7S4_211122_306_A01,L5/6 NP,L5/6 NP,0.91,0.7650256136451453,L5/6 NP_7,L5/6 NP_7,6591.0,55.53089671116401,0.925457874483008,unknown
AB-S40301_S007_E1-50,TCx,acute,P7S4_211122_307_A01,L5 IT,L5 IT,0.52,0.7032679753977574,L5 IT_4,L5 IT_4,7052.0,51.41220926227812,0.9574931009300272,unknown
AB-S40301_S194_E1-50,TCx,acute,PWS4_211122_901_A01,L6 IT,L6 IT,0.87,0.7385506841853064,L6 IT_4,L6 IT_4,7992.0,53.57646280842088,0.9660218860592044,unknown
AB-S40301_S009_E1-50,TCx,acute,P7S4_211123_301_A01,L5 ET,L5 ET,0.96,0.7127997031318666,L5 ET_1,L5 ET_1,6246.0,56.791394050450414,0.9577364904351571,unknown
AB-S40301_S011_E1-50,TCx,acute,P7S4_211123_303_A01,L5 ET,L5 ET,0.92,0.6560497350509461,L5 ET_1,L5 ET_1,7840.0,48.865055653664335,0.9764338628893814,unknown
AB-S40301_S013_E1-50,TCx,acute,P7S4_211123_305_A01,L5 ET,L5 ET,0.24,0.47845630796589544,L5 ET_1,L5 ET_1,3840.0,32.38178984162792,0.7735536427567673,unknown
AB-S40301_S195_E1-50,TCx,acute,PWS4_211203_901_A01,L5 ET,L5 ET,0.75,0.7152801834504918,L5 ET_1,L5 ET_1,7072.0,52.63117047453502,0.9699079153716366,unknown
AB-S40301_S196_E1-50,TCx,acute,PWS4_211203_902_A01,L5 ET,L5 ET,1.0,0.7104659685574338,L5 ET_1,L5 ET_1,6388.0,45.22664444672647,0.9192671763714917,unknown
AB-S40306_S578_E1-50,TCx,acute,PWS4_220224_901_A01,L6 IT,L6 IT,0.91,0.7253992560716601,L6 IT_2,L6 IT_2,6570.0,44.91998625663816,1.014336553138803,unknown
AB-S40304_S346_E1-50,MCx,acute,P7S4_220316_301_A01,L5 IT,L5 IT,0.45,0.7334700897037897,L5 IT_4,L5 IT_4,5797.0,44.75673870864643,0.9816375740684865,unknown
AB-S40305_S171_E1-50,MCx,acute,P7S4_220330_301_A01,L5 IT,L5 IT,0.67,0.583117451557777,L5 IT_1,L5 IT_1,4433.0,31.254242687806283,0.931967199947792,unknown
AB-S40305_S172_E1-50,MCx,acute,P7S4_220330_302_A01,L5 ET,L5 ET,1.0,0.7406830463654274,L5 ET_1,L5 ET_1,7714.0,55.307242072629016,0.9508304753207877,unknown
AB-S40305_S173_E1-50,MCx,acute,P7S4_220330_303_A01,L5 IT,L5 IT,0.55,0.710679203674139,L5 IT_4,L5 IT_4,6574.0,48.79290776192706,1.0337940681447437,unknown
AB-S40307_S673_E1-50,MCx,acute,P7S4_220420_301_A01,L5 ET,L5 ET,1.0,0.766822430011905,L5 ET_1,L5 ET_1,7772.0,52.774777694516715,0.9430679115961124,unknown
AB-S40307_S674_E1-50,MCx,acute,P7S4_220420_302_A01,L5 IT,L5 IT,0.42,0.727856792354535,L5 IT_3,L5 IT_3,5806.0,54.038009228276685,0.9598436902138469,unknown
AB-S40307_S675_E1-50,MCx,acute,P7S4_220420_303_A01,L5 IT,L5 IT,0.84,0.7467481191748893,L5 IT_3,L5 IT_3,6238.0,43.457398434093776,1.009699389748176,unknown
AB-S40309_S107_E1-50,MCx,acute,P7S4_220622_302_A01,L5 IT,L5 IT,0.42,0.7223827169430412,L5 IT_4,L5 IT_4,4551.0,39.0335691228237,0.9271497729096078,unknown
AB-S40309_S178_E1-50,MCx,acute,P7S4_220627_301_A01,L5 ET,L5 ET,0.6,0.7381958994065625,L5 ET_1,L5 ET_1,6483.0,45.07065996178196,0.9944760893386188,CS
AB-S40309_S179_E1-50,MCx,acute,P7S4_220627_302_A01,L5 IT,L5 IT,0.68,0.7518373348247881,L5 IT_4,L5 IT_4,6046.0,57.16156822940057,1.0618244822701917,unknown
AB-S40310_S219_E1-50,MCx,acute,P7S4_220712_302_A01,L5 IT,L5 IT,0.61,0.6453821748917381,L5 IT_4,L5 IT_4,6291.0,46.89924005174067,1.0441966379284484,unknown
AB-S40334_S194_E1-50,TCx,acute,PWS4_221006_902_A01,L5 IT,L5 IT,0.84,0.7183377640442009,L5 IT_4,L5 IT_4,7335.0,51.65975275257589,1.0035214424791281,unknown
AB-S40319_S663_E1-50,TCx,acute,P7S4_221130_302_A01,L6 CT,L6 IT,0.23,0.4530848233728653,L6 CT_4,L6 CT_4,2187.0,22.232860312806483,0.6428519715013888,unknown
AB-S40334_S199_E1-50,TCx,acute,PWS4_221130_901_A01,L5 ET,L5 ET,0.97,0.7394252170480862,L5 ET_1,L5 ET_1,6019.0,57.75891884629372,1.014844498589031,unknown
AB-S40334_S200_E1-50,TCx,acute,PWS4_221130_902_A01,L5 ET,L5 ET,1.0,0.7208301381810647,L5 ET_2,L5 ET_2,7121.0,50.429926421841145,0.9947983762939168,unknown
AB-S40334_S201_E1-50,TCx,acute,PWS4_221201_901_A01,L2/3 IT,L5 IT,0.51,0.6988993759337376,L2/3 IT_9,L2/3 IT_9,6438.0,47.84499693473613,0.9656571630547854,unknown
AB-S40334_S289_E1-50,TCx,acute,PWS4_230202_901_A01,L6b,L6b,0.94,0.7131146268931572,L6b_3,L6b_3,5459.0,56.07040863005418,1.0326871782495022,unknown
AB-S40324_S709_E1-50,MCx,acute,P7S4_230207_302_A01,Lamp5_Lhx6,L5 IT,0.13,0.3622262021044187,Lamp5_Lhx6_1,Lamp5_Lhx6_1,2587.0,20.99561523038563,0.7995631403105683,CS
AB-S40324_S732_E1-50,MCx,acute,PKS4_230207_226_A01,L5 ET,L5 ET,0.97,0.6511976792597888,L5 ET_1,L5 ET_1,5892.0,49.1017145529008,0.9201375701517804,CS
AB-S40324_S710_E1-50,MCx,acute,P7S4_230207_303_A01,Pvalb,L5 IT,0.16,0.30170987999241805,Pvalb_1,Pvalb_1,1761.0,13.142354977020709,0.4650295435534105,CS
AB-S40334_S294_E1-50,MCx,acute,PWS4_230207_901_A01,L5 ET,L5 ET,1.0,0.7627914071051037,L5 ET_1,L5 ET_1,6901.0,52.398191770013526,0.9666650597862971,CS
AB-S40334_S295_E1-50,MCx,acute,PWS4_230208_901_A01,L6 CT,L5 ET,0.32,0.267214962715464,L6 CT_4,L6 CT_4,1192.0,8.816786506499936,0.40107182939889124,CS
AB-S40334_S221_E1-50,TCx,acute,PWS4_230314_901_A01,L6 CT,L6 CT,0.72,0.7132439235815725,L6 CT_3,L6 CT_3,4214.0,46.32465582513082,1.0774806965699633,unknown
AB-S40328_S052_E1-50,TCx,acute,P7S4_230314_301_A01,L4 IT,L5 IT,0.3,0.502932586439805,L4 IT_2,L4 IT_2,3297.0,28.28289240248289,0.9140998325469811,unknown
AB-S40328_S053_E1-50,TCx,acute,P7S4_230314_302_A01,L6 CT,L6 CT,0.95,0.6704544150499612,L6 CT_1,L6 CT_1,5128.0,50.88540530512539,1.0231627050435486,unknown
AB-S40328_S598_E1-50,TCx,acute,P7S4_230322_301_A01,L5 IT,L5 IT,0.84,0.7379248009384276,L5 IT_4,L5 IT_4,6313.0,55.755195591518856,1.1178745051931371,unknown
AB-S40328_S599_E1-50,TCx,acute,P7S4_230322_302_A01,L5 IT,L5 IT,0.98,0.779914225056108,L5 IT_1,L5 IT_1,7249.0,44.522623823930346,1.0630314396761327,unknown
AB-S40328_S632_E1-50,TCx,acute,P7S4_230329_301_A01,L6 IT,L6 IT,0.96,0.709709048326802,L6 IT_4,L6 IT_4,5949.0,50.30933791658805,0.9471102129638822,unknown
AB-S40328_S633_E1-50,TCx,acute,P7S4_230329_302_A01,L5 ET,L5 ET,0.8,0.7282270208756514,L5 ET_2,L5 ET_2,6756.0,49.93796053517228,0.9889909948668079,unknown
AB-S40334_S224_E1-50,TCx,acute,PWS4_230323_925_A01,Vip,L6 IT,0.21,0.44228898308665576,Vip_3,Vip_3,4450.0,23.611498581195878,0.7443470140420131,unknown
AB-S40332_S744_E1-50,TCx,acute,P7S4_230523_301_A01,L5 ET,L5 ET,1.0,0.7590009571771128,L5 ET_2,L5 ET_2,6842.0,51.411263599491676,0.9891452330090458,unknown
AB-S40332_S745_E1-50,TCx,acute,P7S4_230523_302_A01,L5 IT,L5 IT,0.98,0.7572252314844761,L5 IT_1,L5 IT_1,6472.0,58.35351156441349,1.0753156504958168,unknown
AB-S40332_S746_E1-50,TCx,acute,P7S4_230523_303_A01,L5 ET,L5 ET,0.99,0.7406709681076465,L5 ET_2,L5 ET_2,7618.0,47.25630435973658,0.9288397063300047,unknown
SM-GBMFY_S035_E1-50,MCx,culture,PXS4_190603_301_A01,L5 IT,L5 IT,0.15,0.313652206284977,L5 IT_3,L5 IT_3,4696.0,6.754050387455719,0.5245185008653961,unknown
SM-GBMFY_S037_E1-50,MCx,culture,PXS4_190603_303_A01,L6 CT,L6 IT,0.41,0.42013171655672277,L6 CT_4,L6 CT_4,3073.0,29.049391095815945,0.8731074415616423,unknown
SM-GE4WL_S043_E1-50,TCx,culture,PXS4_190717_301_A01,L2/3 IT,L5 IT,0.4,0.6891641565941404,L2/3 IT_15,L2/3 IT_15,8482.0,43.222840442001996,0.9893685206042235,unknown
SM-GE4WL_S044_E1-50,TCx,culture,PXS4_190717_302_A01,L5 ET,L5 ET,0.54,0.45794863200880104,L5 ET_1,L5 ET_1,6977.0,10.571108131681273,0.6380144465979841,unknown
SM-GE4WL_S045_E1-50,TCx,culture,PXS4_190717_303_A01,L2/3 IT,L6 IT,0.28,0.6284654110615807,L2/3 IT_9,L2/3 IT_9,6967.0,42.502255062836866,0.8858623188070088,unknown
SM-GE4WL_S046_E1-50,TCx,culture,PXS4_190717_304_A01,L5 IT,L5 IT,1.0,0.6857550065465334,L5 IT_2,L5 IT_2,6603.0,23.4699556581199,0.9225599918802119,unknown
SM-GE4XG_S006_E1-50,MCx,culture,PXS4_190819_301_A01,L6b,L5 ET,0.42,0.4749018485657505,L6b_4,L6b_4,6104.0,13.116282099203586,0.619210468270073,unknown
